,family,dt name,sc name,cat,bemerkungen,einteilung,untergruppe
140,Zweigsänger (Sylviidae),Berglaubsänger,Phylloscopus bonelli (Vieill.),LC,,Vögel,Singvögel
141,Zweigsänger (Sylviidae),Waldlaubsänger,Phylloscopus sibilatrix (Bechst.),VU,,Vögel,Singvögel
142,Zweigsänger (Sylviidae),Zilpzalp,Phylloscopus collybita (Vieill.),LC,,Vögel,Singvögel
143,Zweigsänger (Sylviidae),Fitis,Phylloscopus trochilus (L.),VU,,Vögel,Singvögel
144,Zweigsänger (Sylviidae),Wintergoldhähnchen,Regulus regulus (L.),LC,,Vögel,Singvögel
145,Zweigsänger (Sylviidae),Sommergoldhähnchen,Regulus ignicapilla (Temm.),LC,,Vögel,Singvögel
146,Fliegenschnäpper (Muscicapidae),Grauschnäpper,Muscicapa striata (Pall.),LC,,Vögel,Singvögel
147,Fliegenschnäpper (Muscicapidae),Halsbandschnäpper,Ficedula albicollis (Temm.),EN,,Vögel,Singvögel
148,Fliegenschnäpper (Muscicapidae),Trauerschnäpper,Ficedula hypoleuca (Pall.),LC,,Vögel,Singvögel
149,Timalien (Timaliidae),Bartmeise,Panurus biarmicus (L.),VU,,Vögel,Singvögel
150,Schwanzmeisen (Aegithalidae),Schwanzmeise,Aegithalos caudatus (L.),LC,,Vögel,Singvögel
151,Meisen (Paridae),Sumpfmeise,Parus palustris L.,LC,,Vögel,Singvögel
152,Meisen (Paridae),Mönchsmeise,Parus montanus Conrad,LC,Rückgang in den Tieflagen,Vögel,Singvögel
153,Meisen (Paridae),Haubenmeise,Parus cristatus L.,LC,,Vögel,Singvögel
154,Meisen (Paridae),Tannenmeise,Parus ater L.,LC,,Vögel,Singvögel
155,Meisen (Paridae),Blaumeise,Parus caeruleus L.,LC,,Vögel,Singvögel
156,Meisen (Paridae),Kohlmeise,Parus major L.,LC,,Vögel,Singvögel
157,Kleiber (Sittidae),Kleiber,Sitta europaea L.,LC,,Vögel,Singvögel
158,Mauerläufer (Tichodromadidae),Mauerläufer,Tichodroma muraria (L.),LC,,Vögel,Singvögel
159,Baumläufer (Certhiidae),Waldbaumläufer,Certhia familiaris L.,LC,,Vögel,Singvögel
160,Baumläufer (Certhiidae),Gartenbaumläufer,Certhia brachydactyla Brehm,LC,,Vögel,Singvögel
161,Beutelmeisen (Remizidae),Beutelmeise,Remiz pendulinus (L.),VU,letzter Brutnachweis: 1999,Vögel,Singvögel
162,Pirole (Oriolidae),Pirol,Oriolus oriolus (L.),LC,,Vögel,Singvögel
163,Würger (Laniidae),Neuntöter,Lanius collurio L.,LC,,Vögel,Singvögel
164,Würger (Laniidae),Schwarzstirnwürger,Lanius minor Gmel.,RE,Letzter Brutnachweis: 1972,Vögel,Singvögel
165,Würger (Laniidae),Raubwürger,Lanius excubitor L.,RE,Letzter Brutnachweis: 1986,Vögel,Singvögel
166,Würger (Laniidae),Rotkopfwürger,Lanius senator L.,CR,,Vögel,Singvögel
167,Krähenvögel (Corvidae),Eichelhäher,Garrulus glandarius (L.),LC,,Vögel,Singvögel
168,Krähenvögel (Corvidae),Elster,Pica pica (L.),LC,,Vögel,Singvögel
169,Krähenvögel (Corvidae),Tannenhäher,Nucifraga caryocatactes (L.),LC,,Vögel,Singvögel
170,Krähenvögel (Corvidae),Alpendohle,Pyrrhocorax graculus (L.),LC,,Vögel,Singvögel
171,Krähenvögel (Corvidae),Alpenkrähe,Pyrrhocorax pyrrhocorax (L.),EN,,Vögel,Singvögel
172,Krähenvögel (Corvidae),Dohle,Corvus monedula L.,VU,,Vögel,Singvögel
173,Krähenvögel (Corvidae),Saatkrähe,Corvus frugilegus L.,LC,,Vögel,Singvögel
174,Krähenvögel (Corvidae),Raben(Nebel-)krähe,Corvus corone L.,LC,,Vögel,Singvögel
175,Krähenvögel (Corvidae),Kolkrabe,Corvus corax L.,LC,,Vögel,Singvögel
176,Stare (Sturnidae),Star,Sturnus vulgaris L.,LC,,Vögel,Singvögel
177,Sperlinge (Passeridae),Haussperling,Passer domesticus (L.),LC,,Vögel,Singvögel
178,Sperlinge (Passeridae),Italiensperling,Passer hispaniolensis italiae (Vieill.),LC,,Vögel,Singvögel
179,Sperlinge (Passeridae),Feldsperling,Passer montanus (L.),LC,,Vögel,Singvögel
180,Sperlinge (Passeridae),Schneesperling,Montifringilla nivalis (L.),LC,,Vögel,Singvögel
181,Finkenvögel (Fringillidae),Buchfink,Fringilla coelebs L.,LC,,Vögel,Singvögel
182,Finkenvögel (Fringillidae),Girlitz,Serinus serinus (L.),LC,,Vögel,Singvögel
183,Finkenvögel (Fringillidae),Zitronengirlitz,Serinus citrinella (Pall.),LC,,Vögel,Singvögel
184,Finkenvögel (Fringillidae),Grünfink,Carduelis chloris (L.),LC,,Vögel,Singvögel
185,Finkenvögel (Fringillidae),Distelfink,Carduelis carduelis (L.),LC,,Vögel,Singvögel
186,Finkenvögel (Fringillidae),Erlenzeisig,Carduelis spinus (L.),LC,,Vögel,Singvögel
187,Finkenvögel (Fringillidae),Hänfling,Carduelis cannabina (L.),NT,,Vögel,Singvögel
188,Finkenvögel (Fringillidae),Alpenbirkenzeisig,Carduelis cabaret (L.),LC,,Vögel,Singvögel
