ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Oreodytes alpinus (Paykull),1,-,1,oligotrophe Seen und Bäche
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),0. davisii (Curtis),3,3,3,Gebirgsbäche an ruhigen Stellen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),0. septentrionalis (Gyllenhal),3,3,3,Gebirgsbäche
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Rhantus bistriatus (Bergsträsser),2,2,2,schattige Tümpel mit Pflanzen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),R. consputus Sturm,2,-,2,Tümpel
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),R. frontalis (Marsham),3,3,3,Tümpel mit dichter Vegetation
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),R. grapii (Gyllenhal),3,3,3,Moore mit üppiger Vegetation
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),R. notaticollis (Aube),2,2,2,"Tümpel mit Pflanzen, Überschwemmungsflächen"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Scarodytes halensis (Fabricius),4,4,4,"Kiesgruben, langsam fliessende Gewässer mit Kiesgrund"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Stictotarsus duodecimpustulatus (Fabr),2,2,2,"Rand von Bächen, oft im Strömungsbereich"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Suphrodytes dorsalis (Fabricius),3,-,3,Wald- und Moortümpel
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Yola bicarinata (Latreille),3,2,3,Gewässer mit Kiesgrund
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),Aulonogyrus striatus (Fabricius),2,2,2,Ufer von Bächen und Gräben
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),Gyrinus aeratus Stephens,2,-,2,langsame Fliessgewässer
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),G. caspius Menetries,-,2,2,Teiche mit Schilf
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),G. colymbus Erichson,2,2,2,"grosse Tümpel, fliessende Gewässer"
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),G. distinctus Aube,4,4,4,Gewässer mit Schilf
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),Gyrinus marinus Gyllenhal,3,-,3,stille Buchten von Weihern
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),G. minutus Fabricius,3,-,3,"stehende Gewässer, Tümpel"
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),G. natator (Linnaeus),2,2,2,"v.a. Moorgewässer, Tümpel"
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),G. paykulli Ochs,2,-,2,Tümpel mit Schilf
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),G. suffriani Scriba,3,3,3,Gewässer mit Schilf
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),G. urinator llliger,2,-,2,
ADEPHAGA (Wasserkäfer),Gyrinidae (Taumelkäfer),Orechtochilus villosus (Müller),2,-,2,"Bäche, Flüsse"
