family,sc name,dt name,cat,bemerkungen,einteilung,Untergruppe
Landschnecken,Vallonia declivis,Grosse Grasschnecke,CR,Wiesen und Weiden,Weichtiere,Landschnecken
Landschnecken,Vallonia enniensis,Feingerippte Grasschnecke,EN,"Wiesen und Weiden, Ufer und Feuchtgebiete",Weichtiere,Landschnecken
Landschnecken,Vertigo alpestris,Alpen-Windelschnecke,NT,"Wälder, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Vertigo angustior,Schmale Windelschnecke,EN,"Wälder, Ufer und Feuchtgebiete",Weichtiere,Landschnecken
Landschnecken,Vertigo antivertigo,Sumpf-Windelschnecke,VU,Ufer und Feuchtgebiete,Weichtiere,Landschnecken
Landschnecken,Vertigo genesii,Blanke Windelschnecke,EN,Ufer und Feuchtgebiete,Weichtiere,Landschnecken
Landschnecken,Vertigo geyeri,Vierzähnige Windelschnecke,CR,"Wälder, Ufer und Feuchtgebiete",Weichtiere,Landschnecken
Landschnecken,Vertigo modesta,Arktische Windelschnecke,CR,Ufer und Feuchtgebiete,Weichtiere,Landschnecken
Landschnecken,Vertigo moulinsiana,Bauchige Windelschnecke,EN,Ufer und Feuchtgebiete,Weichtiere,Landschnecken
Landschnecken,Vertigo pusilla,Linksgewundene Windelschnecke,NT,"Wälder, Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Vertigo substriata,Gestreifte Windelschnecke,VU,"Wälder, Ufer und Feuchtgebiete",Weichtiere,Landschnecken
Landschnecken,Xerocrassa geyeri,Zwergheideschnecke,CR,Wiesen und Weiden,Weichtiere,Landschnecken
Landschnecken,Xerolenta obvia,Weisse Heideschnecke,NT,"Siedlungsgebiete, Wiesen und Weiden",Weichtiere,Landschnecken
Landschnecken,Zebrina detrita,Weisse Turmschnecke,VU,Wiesen und Weiden,Weichtiere,Landschnecken
Landschnecken,Zonitoides nitidus,Glänzende Dolchschnecke,NT,"Wälder, Ufer und Feuchtgebiete",Weichtiere,Landschnecken
