Art,CH
Ramalina fraxinea (L.) Ach. 1810,NT
Ramalina obtusata (Arnold) Bitter 1901,VU
Ramalina panizzei De Not. 18461237,EN
Ramalina pollinaria (Westr.) Ach. 1810,NT
Ramalina roesleri (Schaerer) Hue 1887,EN
Ramalina sinensis Jatta 1902,CR
Ramalina thrausta (Ach.) Nyl. 1860,EN
Reichlingia leopoldii Diederich & Scheid. 1996,LC
Rinodina archaea (Ach.) Arnold 1881,LC
Rinodina capensis Hampe 1861,NT
Rinodina colobina (Ach.) Th.Fr. 1871,EN
Rinodina conradii Körber 1855,VU
Rinodina efflorescens Malme 1927,VU
Rinodina exigua (Ach.) S.Gray 1821,NT
Rinodina griseosoralifera Coppins 1989,NT
Rinodina isidioides (Borrer) Olivier 1909,EN
Rinodina malangica (Norman) Arnold 1881,LC
Rinodina orculata Poelt & M.Steiner 1970,LC
Rinodina plana H.Magn. 1947,EN
Rinodina polyspora Th.Fr. 1861,RE
Rinodina polysporoides Giralt & H.Mayrhofer 1994,VU
Rinodina pyrina (Ach.) Arnold 1881,NT
Rinodina roboris (Nyl.) Arnold 1881,EN
Rinodina septentrionalis Malme 1913,LC
Rinodina sheardii Tønsberg1992,CR
Rinodina sophodes (Ach.) A. Massal. 1852,NT
Rinodina sp. 1,NT
Rinodina ventricosa Hinteregger & Giralt 1994,CR
Ropalospora viridis (Tønsberg) Tønsberg1992,NT
Schismatomma decolorans (Sm.) Clauzade & Ve˘ zda 1965,VU
Schismatomma graphidioides (Leighton) Zahlbr. 1919,CR
Schismatomma pericleum (Ach.) Branth & Rostrup 1869,NT
Sclerophora nivea (Hoffm.) Tibell 1984,VU
Scoliciosporum chlorococcum (Stenh.) Ve˘ zda 1978,LC
Scoliciosporum curvatum Sérus.,VU
Scoliciosporum gallurae Ve˘ zda & Poelt 1987,LC
Scoliciosporum pruinosum (P.James) Ve˘ zda 1978,EN
Scoliciosporum sarothamni (Vainio) Ve˘ zda 1978,LC
