ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Melitta nigricans ALFK.,2,2,2,auf Lythrum
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),M. tricincta K.,1,3,3,auf Odontites
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Farn. Megachilidae,,,,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Anthidium caturigense GIR.,-,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. cingulatum LATR.,0,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. interruptum F.,-,1,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. laterale LATR.,-,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. lituratum PZ.,2,n,3,auf Asteraceae
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. loti PERR.,-,0,0,früher Kt. Tessin
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. punctatum LATR.,3,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. septemdentatum LATR.,-,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. septemspinosum LEP.,0,2,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Chelostoma emarginatum NYL.,0,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. foveolatum (MOR.),-,0,0,früher Kt. Genf
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Coelioxys afra LEP.,0,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. conoidea (ILL.),1,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. emarginata FOERST.,-,0,0,früher Kt. Genf
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. inermis (K.),3,0,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. lanceolata NYL.,4,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. rufescens LEP.,2,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Dioxys cincta JUR.,0,2,2,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Heriades crenulatus NYL.,I,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Lithurgus chrysurus FONSC.,J-,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Megachile apicalis SPIN.,-,0,0,
