Jahr,ID,Name,Partei,Departement,Dep kurz,Partei
1991,095,"Koller, Arnold",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1991,099,"Villiger, Kaspar",LU,Eidgenössisches Militärdepartement,VBS,FDP
1991,097,"Ogi , Adolf",BE,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1991,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1990,096,"Cotti , Flavio",TI,Eidgenössisches Departement des Innern ,EDI,CVP
1990,098,"Felber, René",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
1990,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
1990,095,"Koller, Arnold",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1990,099,"Villiger, Kaspar",LU,Eidgenössisches Militärdepartement,VBS,FDP
1990,097,"Ogi , Adolf",BE,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1990,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1989,096,"Cotti , Flavio",TI,Eidgenössisches Departement des Innern ,EDI,CVP
1989,098,"Felber, René",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
1989,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
1989,095,"Koller, Arnold",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1989,094,"Kopp, Elisabeth",ZH,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,FDP
1989,099,"Villiger, Kaspar",LU,Eidgenössisches Militärdepartement,VBS,FDP
1989,095,"Koller, Arnold",AI,Eidgenössisches Militärdepartement,VBS,CVP
1989,097,"Ogi , Adolf",BE,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1989,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1988,096,"Cotti , Flavio",TI,Eidgenössisches Departement des Innern ,EDI,CVP
1988,098,"Felber, René",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
1988,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
1988,094,"Kopp, Elisabeth",ZH,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,FDP
1988,095,"Koller, Arnold",AI,Eidgenössisches Militärdepartement,VBS,CVP
1988,097,"Ogi , Adolf",BE,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1988,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1987,096,"Cotti , Flavio",TI,Eidgenössisches Departement des Innern ,EDI,CVP
1987,088,"Aubert, Pierre",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
1987,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
1987,094,"Kopp, Elisabeth",ZH,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,FDP
1987,095,"Koller, Arnold",AI,Eidgenössisches Militärdepartement,VBS,CVP
1987,089,"Schlumpf , Leon",GR,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1987,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1986,091,"Egli, Alphons",LU,Eidgenössisches Departement des Innern ,EDI,CVP
1986,088,"Aubert, Pierre",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
1986,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
1986,094,"Kopp, Elisabeth",ZH,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,FDP
1986,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Militärdepartement,VBS,FDP
1986,089,"Schlumpf , Leon",GR,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1986,083,"Furgler, Kurt",SG,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
1985,091,"Egli, Alphons",LU,Eidgenössisches Departement des Innern ,EDI,CVP
1985,088,"Aubert, Pierre",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
1985,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
1985,094,"Kopp, Elisabeth",ZH,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,FDP
1985,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Militärdepartement,VBS,FDP
1985,089,"Schlumpf , Leon",GR,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1985,083,"Furgler, Kurt",SG,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
1984,091,"Egli, Alphons",LU,Eidgenössisches Departement des Innern ,EDI,CVP
1984,088,"Aubert, Pierre",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
1984,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
1984,094,"Kopp, Elisabeth",ZH,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,FDP
1984,090,"Friedrich, Rudolf",ZH,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,FDP
1984,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Militärdepartement,VBS,FDP
1984,089,"Schlumpf , Leon",GR,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1984,083,"Furgler, Kurt",SG,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
1983,091,"Egli, Alphons",LU,Eidgenössisches Departement des Innern ,EDI,CVP
1983,088,"Aubert, Pierre",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
