,Addresse,Lat,Lng,Name,Rating
132,"Avenue du Léman 19, 1005 Lausanne, Switzerland",46.5166036,6.6446722,Zhiwei,4.5
133,"Avenue d'Echallens 60, 1004 Lausanne, Switzerland",46.52727369999999,6.6179441,Kazoku,4.4
134,"Rue Marterey 9, 1005 Lausanne, Switzerland",46.52078729999999,6.638420099999999,Restaurant L'Antica Trattoria,4.3
135,"Place du Port 17, 1006 Lausanne, Switzerland",46.5075997,6.6298685,Café Beau-Rivage,4.5
136,"Rue Centrale 9, 1003 Lausanne, Switzerland",46.5209538,6.6329528,Le Cinq,4.5
137,"Avenue du Chablais 53, 1007 Lausanne, Switzerland",46.5232328,6.6010452,La Poesia Restaurant,4.5
138,"Avenue du Tribunal-Fédéral 4, 1005 Lausanne, Switzerland",46.5200512,6.6401471,"Restaurant de la piscine de Mon-Repos, Chez J. Farhat",4.5
139,"Rue de l'Ale 4, 1003 Lausanne, Switzerland",46.5233503,6.6296458,Pinte Besson,4.3
140,"Avenue des Bains 4C, 1007 Lausanne, Switzerland",46.5138205,6.617969599999999,Veganopolis Café,4.7
141,"Avenue de la Gare 31, 1003 Lausanne, Switzerland",46.5166976,6.635335899999999,Hôtel Mirabeau,4.5
142,"Avenue du Théâtre 12, 1005 Lausanne, Switzerland",46.51804,6.636889999999999,Restaurant du Théâtre,4.3
143,"Place du Port 11, 1006 Lausanne, Switzerland",46.5071613,6.6283135,L´Accademia,4.3
144,"Rue Pierre-Viret 6, 1003 Lausanne, Switzerland",46.5223985,6.6342861,Le Vieux Lausanne,4.4
145,"Rue Cheneau-de-Bourg 1, 1003 Lausanne, Switzerland",46.5209426,6.6364182,Blackbird Café,4.3
146,"Avenue d'Ouchy 14, 1006 Lausanne, Switzerland",46.5136042,6.630593699999999,Restaurant Osteria Balsamico,4.2
147,"Avenue du Grammont 6, 1007 Lausanne, Switzerland",46.5121878,6.6273632,Sport's Café le Zodiac,4.3
148,"Rue du Grand-Chêne 7-9, 1003 Lausanne, Switzerland",46.51944,6.6308662,Lausanne Palace,4.6
149,"Rue Mercerie 9, 1003 Lausanne, Switzerland",46.5216276,6.6347133,Crêperie la Chandeleur,4.5
150,"Rue Pichard 18, 1003 Lausanne, Switzerland",46.5216552,6.6307972,Coccinelle Café,4.2
151,"Place Pépinet 1, 1003 Lausanne, Switzerland",46.5212698,6.6325084,Bottle Brothers Lausanne,4.3
152,"Rue Pépinet 3, 1003 Lausanne, Switzerland",46.520266,6.632394,Eat Me Restaurant & Cocktail Lounge Lausanne,4.4
153,"Avenue de Chailly 21, 1012 Lausanne, Switzerland",46.5250526,6.652989199999999,Restaurant L'Oustau,4.3
154,"Rue du Grand-Chêne 7, 1003 Lausanne, Switzerland",46.5195715,6.6313018,Brasserie Grand-Chêne,4.4
155,"Rue Madeleine 18, 1003 Lausanne, Switzerland",46.5227454,6.633147699999999,The Great Escape,4.4
156,"Avenue de Cour 4, 1007 Lausanne, Switzerland",46.5122351,6.6276882,L'ardoise,4.3
157,"Quai Jean-Pascal Delamuraz 1, 1006 Lausanne, Switzerland",46.5048468,6.6274368,The Lacustre,4.2
158,"Chemin de Renens 56C, 1004 Lausanne, Switzerland",46.528284,6.604393,Los Tacos Hermanos,4.5
159,"Rue Enning 10 bis, 1003 Lausanne, Switzerland",46.52007,6.6377228,Café Enning,4.3
160,"Avenue d'Ouchy 38, 1006 Lausanne, Switzerland",46.511826,6.629179,Piazza San marco,4.4
161,"Rue du Grand-Chêne 7, 1003 Lausanne, Switzerland",46.5194027,6.6307199,Restaurant Côté Jardin,4.3
162,"Route de l'Abbaye 2, 1053 Montheron, Switzerland",46.5898726,6.6639857,Auberge de l'Abbaye de Montheron,4.4
163,"Place du N 4, 1005 Lausanne, Switzerland",46.5260368,6.6367236,Bossette SA,4.4
164,"Avenue d'Ouchy 3, 1006 Lausanne, Switzerland",46.5165321,6.6336551,Pasta e Sfizi,4.3
165,"Rue Dr César-Roux 6, 1005 Lausanne, Switzerland",46.524448,6.6377739,Le Troubadour,4.3
166,"Avenue de Rhodanie 4, 1007 Lausanne, Switzerland",46.5082603,6.6240666,Mövenpick Restaurant Lausanne,3.9
167,"Süsenbergstrasse 17, 8400 Winterthur, Switzerland",47.505695,8.741477999999999,Restaurant Goldenberg,3.8
168,"Wülflingerstrasse 214, 8408 Winterthur, Switzerland",47.5112678,8.6994366,Schloss Wülflingen,4.6
169,"Steinberggasse 59, 8400 Winterthur, Switzerland",47.4979199,8.727361199999999,grepery,4.5
170,"Bosshardengässchen 2, 8400 Winterthur, Switzerland",47.4990005,8.7262195,Trübli,4.5
171,"Feldstrasse 22, 8400 Winterthur, Switzerland",47.50586089999999,8.7193921,Nachbarsgarten,4.7
172,"Schickstrasse 11, 8400 Winterthur, Switzerland",47.5100726,8.7305393,Restaurant Trois Tilleuls,4.7
173,"Stadthausstrasse 8, 8400 Winterthur, Switzerland",47.500409,8.727193,Restaurant-Vineria STRAUSS,4.3
174,"Stadthausstrasse 12, 8400 Winterthur, Switzerland",47.5002242,8.726596500000001,Villa Duchessa,4.7
175,"Stadthausstrasse 24, 8400 Winterthur, Switzerland",47.4997063,8.7241062,National,4.1
176,"Im Sporrer 1, 8408 Winterthur, Switzerland",47.517677,8.691714,Restaurant Sporrer,4.6
177,"Stadthausstrasse 4, 8400 Winterthur, Switzerland",47.5010206,8.7327324,Restaurant Bloom,4.4
178,"Tösstalstrasse 70, 8400 Winterthur, Switzerland",47.4942809,8.7400527,AL GIARDINO Restaurant Bar Zigarrenlounge,4.4
179,"Taggenbergstrasse 79, 8408 Winterthur, Switzerland",47.5198554,8.6839709,Restaurant Taggenberg,4.8
180,"Stadthausstrasse 121, 8400 Winterthur, Switzerland",47.4997584,8.726168399999999,Locanda Trivisano,4.6
181,"Bachtelstrasse 72, 8400 Winterthur, Switzerland",47.5093393,8.7171924,Bunter Hund,4.9
182,"Hermannstrasse 15, 8400 Winterthur, Switzerland",47.4980934,8.7410269,Restaurant Hermannseck,4.4
183,"Schulgasse 1, 8400 Winterthur, Switzerland",47.4988985,8.7302289,Cafe Restaurant Obergass,4.5
184,"Neuwiesenstrasse 14, 8400 Winterthur, Switzerland",47.5017681,8.7210191,Tibet Bistro,4.7
185,"Tössfeldstrasse 30, 8406 Winterthur, Switzerland",47.49176749999999,8.7137048,Ristorante Caruso,4.6
186,"Feldstrasse 2, 8400 Winterthur, Switzerland",47.5090875,8.7171864,ConCordia,4.5
187,"Römerstrasse 71, 8404 Winterthur, Switzerland",47.5011166,8.746290199999999,Restaurant Stadtrain,4.6
188,"Wartstrasse 23, 8400 Winterthur, Switzerland",47.5011479,8.7210603,Maharaja Curry,4.2
189,"Zürcherstrasse 1, 8400 Winterthur, Switzerland",47.498465,8.7211379,Restaurant Boilerroom,4.3
190,"Schlachthofstrasse 17, 8406 Winterthur - Töss, Switzerland",47.496253,8.698445,Salitre,4.5
191,"Wülflingerstrasse 30, 8400 Winterthur, Switzerland",47.5050737,8.7184388,Buon Gusto Pizzeria & Pizzakurier,4.5
192,"Agnesstrasse 65, 8406 Winterthur, Switzerland",47.4901679,8.7093053,Restaurant Bahnhof Töss,4.4
193,"Marktgasse 45, 8400 Winterthur, Switzerland",47.499424,8.727779,Pizzeria Ristorante Molino,4.2
194,"Marktgasse 44, 8400 Winterthur, Switzerland",47.4997842,8.7287496,Cantinetta Bindella,4.3
195,"Oberer Graben 48, 8400 Winterthur, Switzerland",47.5000934,8.7312636,tibits,4.4
196,"Bahnhofpl. 12, 8400 Winterthur, Switzerland",47.5007963,8.7250973,Bindella,4.0
197,"Neumarkt 7-11, 8400, Switzerland",47.498618,8.72604,Brauhaus Winterthur,4.1
198,"Wülflingerstrasse 28, 8400 Winterthur, Switzerland",47.5048359,8.718966,nachbarsbox - brot. salat. grill.,4.5
199,"Zürcherstrasse 51, 8406 Winterthur, Switzerland",47.49493229999999,8.7130824,Coop Restaurant Winterthur Lokwerk,3.3
200,"Stadthausstrasse 119, 8400 Winterthur, Switzerland",47.49975999999999,8.726598,Casinotheater Winterthur,4.4
201,"Marktgasse 20, 8400 Winterthur, Switzerland",47.4999672,8.7299126,Restaurant Rathaus Winterthur,4.1
202,"Marktgasse 49, 8400 Winterthur, Switzerland",47.4993707,8.7273587,Sorell Hotel Krone,4.6
203,"Büelrainstrasse 1, 8400 Winterthur, Switzerland",47.4965483,8.7274113,Restaurant Barnabas,4.5
204,"Eschenbergstrasse 1, 8400 Winterthur, Switzerland",47.4759031,8.7447018,Eschenberg,4.2
205,"Sempacherstrasse 14, 6003 Luzern, Switzerland",47.047968,8.307895,Bam Bou by Thomas,4.6
206,"Kornmarkt 5, 6004 Luzern, Switzerland",47.0519132,8.3057106,Brasserie Bodu,4.4
207,"Rathausquai 1, 6004 Luzern, Switzerland",47.0523112,8.3077939,Jakob. La Bonne Cave,3.7
208,"Buobenmatt 2, 6003 Luzern, Switzerland",47.0503961,8.3064469,Wirtschaft zur Ente,4.1
