,Addresse,Lat,Lng,Name,Rating
967,"Freiestrasse 10, 2540 Grenchen, Switzerland",47.189815,7.399245199999999,Migros Restaurant,0.0
973,"Ctre du Village 1, 2043 Boudevilliers, Switzerland",47.0265418,6.8887244,Val-de-Ruz Pizza a l’emporter et livraison chezard cernier fontainemelon haut geneveys fontaine coffrane geneveys sur coffrane montmollin montezillon valangin Fenin vilars saule savagnier dombresson Villiers engollon et plus,4.2
974,"Grand-Rue 19, 2046 Fontaines, Switzerland",47.0438951,6.9003893,Restaurant Le Manoir de la Poste,4.4
975,"Rue Léo-Châtelain 11, 2063 Fenin-Vilars-Saules, Switzerland",47.02564080000001,6.922137999999999,Auberge du Chasseur - Maria & Sonny Sàrl,4.4
976,"Rue de la Maigroge 12, 2072 St Blaise, Switzerland",47.0141478,6.982020599999999,Restaurant de la Gare - Comme Chez Vous - Chez Alex Duarte,4.4
977,"Rue de l'Aurore 6, 2053 Cernier, Switzerland",47.05864099999999,6.9090579,Restaurant d'Evologia La Terrassiette,3.5
978,"Grand'Rue 34, 2054 Chézard-Saint-Martin, Switzerland",47.0638414,6.921181,Restaurant la Croix d'Or,4.1
979,"Rue de l'Eglise 4, 2063 Engollon, Switzerland",47.0386561,6.9230341,Terre Ô Fées,4.5
980,"Rue des Granges 7-9, 2034 Peseux, Switzerland",46.9879257,6.888682900000001,Jorgius Restaurant,4.5
981,"Rue de Flandres 2, 2000 Neuchâtel, Switzerland",46.9905941,6.928762799999999,In & Out,4.0
982,"Route de Fontaines 1, 2052 Fontainemelon, Switzerland",47.055909,6.890059,Restaurant Pizzeria de l'Union Fontainemelon,4.0
983,"Les Bugnenets 3, 2058 Le Pâquier, Switzerland",47.1189125,7.0005479,Bonne Auberge Les Bugnenets,4.3
984,"Grand'Rue 24, 2056 Dombresson, Switzerland",47.071821,6.957933,Michel Stangl,4.3
985,"Fbg de l'Hôpital 31, 2000 Neuchâtel, Switzerland",46.9942853,6.9352323,Ananda Café Boutique,5.0
986,"Rue de l'Hôtel-de-Ville 114, 2300 La Chaux-de-Fonds, Switzerland",47.0945364,6.841937199999999,Restaurant La Parenthèse,4.7
987,"Rue de la Serre 83, 2300 La Chaux-de-Fonds, Switzerland",47.0996725,6.823567199999999,Krishna Take away,4.7
989,"Kempttalstrasse 52, 8308 Illnau-Effretikon, Switzerland",47.4082099,8.72641,Rössli,4.6
990,"Hörnlistrasse 14, 8308 Illnau-Effretikon, Switzerland",47.4144687,8.717035,Restaurant Hörnli,4.4
991,"Effretikonerstrasse 64, 8308 Illnau-Effretikon, Switzerland",47.4161241,8.7178302,Gasthof zum Löwen,4.3
992,"Usterstrasse 6, 8308 Illnau, Switzerland",47.4080977,8.7246204,Steakhouse Frieden,4.6
993,"Usterstrasse 20, 8308 Illnau, Switzerland",47.40759329999999,8.7237296,"Ristorante Pizzeria Schmitte da Nino, Elmas Aliji",4.5
995,"Sportplatzstrasse 4, 8307 Illnau-Effretikon, Switzerland",47.4201135,8.701374699999999,Restaurant Sportzentrum,3.2
997,"Dorfstrasse 6, 8307 Illnau-Effretikon, Switzerland",47.4312985,8.6876889,Restaurant Nussbaum,4.7
998,"Schloss-Strasse 2, 8307 Illnau-Effretikon, Switzerland",47.4372643,8.736276199999999,Restaurant First,4.5
1000,"Bahnhofstrasse 21, 8307 Illnau-Effretikon, Switzerland",47.4260681,8.68635,Restaurant Bahnhöfli,4.4
1001,"Tannstrasse 25, 8307 Illnau-Effretikon, Switzerland",47.4262449,8.6830407,Banbua,4.6
1002,"Weiherstrasse 17, 8307 Illnau-Effretikon, Switzerland",47.4348284,8.6905168,Restaurant Lucky Bamboo,4.5
1005,"8, Metzgergasse, 3400 Burgdorf, Switzerland",47.05740489999999,7.6267184,Restaurant Serendib,4.7
1006,"Rütschelengasse 17, 3400 Burgdorf, Switzerland",47.0553451,7.627394499999999,Da Gino,4.3
