Unnamed: 0,Addresse,Lat,Lng,Name,Rating,Points,geometry
2199,"Emil Frey-Strasse 164, 4142 Münchenstein, Switzerland",47.5202559,7.606681199999999,Restaurant Gartenstadt,4.5,POINT (7.606681199999999 47.5202559),POINT (7.606681199999999 47.5202559)
2200,"Hauptstrasse 20, 4142 Münchenstein, Switzerland",47.512985799999996,7.6206104,Restaurant Münch,4.5,POINT (7.6206104 47.5129858),POINT (7.6206104 47.5129858)
2201,"Hauptstrasse 31, 4142 Münchenstein, Switzerland",47.5121396,7.621165100000002,Griechische Taverne,4.7,POINT (7.621165100000002 47.5121396),POINT (7.621165100000002 47.5121396)
2202,"Hauptstrasse 51, 4142 Münchenstein, Switzerland",47.510429200000004,7.6208988999999985,Restaurant Wintergarten,4.4,POINT (7.620898899999998 47.5104292),POINT (7.620898899999998 47.5104292)
2203,"Rainstrasse 6, 4142 Münchenstein, Switzerland",47.530910799999994,7.614655900000002,Seegarten im Park im Grünen,4.5,POINT (7.614655900000002 47.53091079999999),POINT (7.614655900000002 47.53091079999999)
2204,"Bahnhofstrasse 6, 4142 Münchenstein, Switzerland",47.5122995,7.6176992000000014,Bäckerei-Café Birseck,4.6,POINT (7.617699200000001 47.5122995),POINT (7.617699200000001 47.5122995)
2205,"Baselstrasse 88, 4142 Münchenstein, Switzerland",47.519927,7.6180086,Hotel Hofmatt,4.1,POINT (7.6180086 47.519927),POINT (7.6180086 47.519927)
2206,"Frankfurt-Strasse 36, 4142 Münchenstein, Switzerland",47.5317029,7.6076359999999985,schmatz,4.5,POINT (7.607635999999999 47.5317029),POINT (7.607635999999999 47.5317029)
2208,"St. Jakobs-Strasse 397, 4002 Basel, Switzerland",47.541185999999996,7.621604499999999,MANORA Restaurant Basel St. Jakob-Park,3.6,POINT (7.621604499999999 47.541186),POINT (7.621604499999999 47.541186)
2210,"153, St. Jakobs-Strasse, 4132 Muttenz, Switzerland",47.5352605,7.628203200000001,restaurant pizzeria freidorf,4.5,POINT (7.628203200000001 47.5352605),POINT (7.628203200000001 47.5352605)
2212,"Gundeldingerstrasse 505, 4053 Basel, Switzerland",47.5371377,7.6038936,Restaurant Viertel-Kreis,4.5,POINT (7.6038936 47.5371377),POINT (7.6038936 47.5371377)
2213,"Binningerstrasse 14, 4051 Basel, Switzerland",47.549747499999995,7.584347099999999,Acqua,4.3,POINT (7.584347099999999 47.5497475),POINT (7.584347099999999 47.5497475)
2214,"Seminarstrasse 12-22, 4132 Muttenz, Switzerland",47.53407379999999,7.624560000000001,Coop Tagungszentrum,4.5,POINT (7.624560000000001 47.53407379999999),POINT (7.624560000000001 47.53407379999999)
2215,"Dornacherstrasse 152, 4053 Basel, Switzerland",47.542347,7.591491099999999,Restaurant Züribieter,3.7,POINT (7.591491099999999 47.542347),POINT (7.591491099999999 47.542347)
2216,"Pfarrgasse 4, 72525 Münsingen, Germany",48.4129221,9.4960846,Taverne Olivenbaum,4.6,POINT (9.4960846 48.4129221),POINT (9.4960846 48.4129221)
2217,"Grafenecker Str. 2, 72525 Münsingen, Germany",48.40913,9.48865,Della Rocca,3.9,POINT (9.48865 48.40913),POINT (9.48865 48.40913)
2218,"Uracher Str. 16, 72525 Münsingen, Germany",48.413320399999996,9.493863900000001,Pizzeria Lentini,4.3,POINT (9.493863900000001 48.4133204),POINT (9.493863900000001 48.4133204)
2219,"Grafenecker Str. 2, 72525 Münsingen, Germany",48.40913,9.48865,Gaststätte TSG Sportheim,3.0,POINT (9.48865 48.40913),POINT (9.48865 48.40913)
2220,"Obstgartenstrasse 5, 8910 Affoltern am Albis, Switzerland",47.27440499999999,8.443659,"Pizzeria Ristorante Molino, Affoltern am Albis",4.2,POINT (8.443659 47.27440499999999),POINT (8.443659 47.27440499999999)
2221,"Zürichstrasse 135, 8910 Affoltern am Albis, Switzerland",47.2810834,8.4538146,"Ristorante Pizzeria ""Il sogno""",4.1,POINT (8.453814599999999 47.2810834),POINT (8.453814599999999 47.2810834)
2222,"A4, 8910 Affoltern am Albis, Switzerland",47.27151569999999,8.4384807,Alpenblick - Das Panorama Restaurant in der Raststätte MYSTOP,4.4,POINT (8.4384807 47.27151569999999),POINT (8.4384807 47.27151569999999)
2223,"Zürcherstrasse 4, 8908 Hedingen, Switzerland",47.29786259999999,8.4483421,il tiglio,4.4,POINT (8.4483421 47.29786259999999),POINT (8.4483421 47.29786259999999)
2224,"Bahnhofstrasse 11, 3123 Belp, Switzerland",46.890026,7.498255800000001,Ristorante-Bar Puccini,4.4,POINT (7.498255800000001 46.890026),POINT (7.498255800000001 46.890026)
2225,"Dorfstrasse 10, 3123 Belp, Switzerland",46.8931348,7.4981943000000015,Ristorante Pizzeria L'Osteria,4.3,POINT (7.498194300000002 46.8931348),POINT (7.498194300000002 46.8931348)
