Id,Label,Date,Image,followers_count,friends_count
367682868,12terMann_AT,Sun Sep 04 11:30:38 +0000 2011,https://pbs.twimg.com/profile_images/897876525088993280/IhaAeYbV_normal.jpg,2431,507
37391313,BEARZBEARZBEARZ,Sun May 03 09:00:10 +0000 2009,https://pbs.twimg.com/profile_images/1052473594037456896/ybm1vn4o_normal.jpg,1324,4995
3801795495,zwoelf_app,Mon Sep 28 08:30:12 +0000 2015,https://pbs.twimg.com/profile_images/648415077016694784/3458kFMj_normal.png,1002,560
399370075,Glggli,Thu Oct 27 11:57:53 +0000 2011,https://pbs.twimg.com/profile_images/1609070560/der_schuh_des_manitu026_normal.jpg,18,136
408548113,NZZzuerich,Wed Nov 09 15:30:05 +0000 2011,https://pbs.twimg.com/profile_images/733202507590176768/JzhXkf0x_normal.jpg,3482,215
42252696,Pemumm,Sun May 24 18:07:18 +0000 2009,https://pbs.twimg.com/profile_images/765650958500171776/I0_rpDj4_normal.jpg,435,984
425075648,KhaledKarouri,Wed Nov 30 14:39:31 +0000 2011,https://pbs.twimg.com/profile_images/922577745237958656/ODW5csw6_normal.jpg,18469,4962
429674948,EggerAndrea,Tue Dec 06 07:36:33 +0000 2011,https://pbs.twimg.com/profile_images/971824094529368065/zphxGf-R_normal.jpg,31,87
437588125,pascallamprecht,Thu Dec 15 16:00:23 +0000 2011,https://pbs.twimg.com/profile_images/1816743964/P1060330_normal.JPG,351,999
4695031999,Zurichspotter,Sat Jan 02 08:54:47 +0000 2016,https://pbs.twimg.com/profile_images/683588194449801216/MvyM-xT8_normal.jpg,1765,11
46988913,ChrisDangerReid,Sat Jun 13 23:44:50 +0000 2009,https://pbs.twimg.com/profile_images/892455129160568832/Oq2pm8CZ_normal.jpg,277,587
472834631,333monique,Tue Jan 24 10:42:24 +0000 2012,https://pbs.twimg.com/profile_images/966262794197839872/fOizjkxE_normal.jpg,53,144
479445216,FWWinterberg,Tue Jan 31 11:42:40 +0000 2012,https://pbs.twimg.com/profile_images/421958227547283456/GJDEMi8b_normal.jpeg,9983,10241
4869675245,andreas_wisst,Mon Feb 01 16:26:02 +0000 2016,https://pbs.twimg.com/profile_images/919601808678539264/u4QFrril_normal.jpg,24542,23058
488830152,PaulLamperd,Fri Feb 10 22:00:40 +0000 2012,https://pbs.twimg.com/profile_images/777422116799021056/mj8Lfr2M_normal.jpg,437,1287
492607392,rstocker_sky,Tue Feb 14 22:33:54 +0000 2012,https://pbs.twimg.com/profile_images/2272810942/image_normal.jpg,3304,3357
495880776,UKordeck,Sat Feb 18 12:02:44 +0000 2012,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,421,405
50645038,FELDart,Thu Jun 25 13:29:37 +0000 2009,https://pbs.twimg.com/profile_images/344513261581407385/3c55c063d37d0c2e2adca1d742ef6b3b_normal.jpeg,2477,4004
52680265,_diver,Wed Jul 01 09:34:09 +0000 2009,https://pbs.twimg.com/profile_images/948103826694746113/VAk05H0N_normal.jpg,69,24
537114100,metalinside,Mon Mar 26 10:51:09 +0000 2012,https://pbs.twimg.com/profile_images/454521708066504704/Pwnzu0Zd_normal.jpeg,241,683
540087657,MV_Zuerich,Thu Mar 29 14:02:51 +0000 2012,https://pbs.twimg.com/profile_images/1055442153386729472/XJl5gFb9_normal.jpg,815,449
55343681,mmznr,Thu Jul 09 19:59:38 +0000 2009,https://pbs.twimg.com/profile_images/552948031536893953/mLSQyWJq_normal.png,515,667
55522036,sportch,Fri Jul 10 09:56:47 +0000 2009,https://pbs.twimg.com/profile_images/1006195814484598784/-UzYAm0C_normal.jpg,4668,494
561916773,canteiro_hugo,Tue Apr 24 08:17:40 +0000 2012,https://pbs.twimg.com/profile_images/603238715129995265/zR8-fCuT_normal.jpg,2688,2365
605495577,Lord_of_Sail,Mon Jun 11 13:21:01 +0000 2012,https://pbs.twimg.com/profile_images/772403727319859200/XX0kqKrF_normal.jpg,374,495
