GROUP,ORDER,FAMILY,GENUS,SPECIES SSP,Scientific name,Deutscher Name,CAT,Criteria,Bemerkungen
Insecta,Lepidoptera,Nymphalidae,Arethusana,arethusa,"Arethusana arethusa (Denis & Schiffermüller, 1775)",Rotbindensamtfalter,RE,,Letzter Nachweis in der Schweiz 1974
Insecta,Lepidoptera,Nymphalidae,Argynnis,adippe,"Argynnis adippe (Denis & Schiffermüller, 1775)",Märzveilchenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Argynnis,aglaja,"Argynnis aglaja (Linnaeus, 1758)",Grosser Perlmutterfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Argynnis,niobe,"Argynnis niobe (Linnaeus, 1758)",Stiefmütterchen-Perlmutterfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Argynnis,pandora,"Argynnis pandora (Denis & Schiffermüller, 1775)",Kardinal,NA,,
Insecta,Lepidoptera,Nymphalidae,Argynnis,paphia,"Argynnis paphia (Linnaeus, 1758)",Kaisermantel,LC,,
Insecta,Lepidoptera,Lycaenidae,Aricia,agestis,"Aricia agestis (Denis & Schiffermüller, 1775)",Kleiner Sonnenröschen-Bläuling,LC,,
Insecta,Lepidoptera,Lycaenidae,Aricia,artaxerxes,"Aricia artaxerxes (Fabricius, 1793)",Grosser Sonnenröschen-Bläuling,LC,,
Insecta,Lepidoptera,Lycaenidae,Aricia,eumedon,"Aricia eumedon (Esper, 1780)",Storchschnabel-Bläuling,LC,,
Insecta,Lepidoptera,Lycaenidae,Aricia,nicias,"Aricia nicias (Meigen, 1830)",-,LC,,
Insecta,Lepidoptera,Nymphalidae,Boloria,aquilonaris,"Boloria aquilonaris (Stichel, 1908)",Hochmoor-Perlmutterfalter,EN,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Boloria,dia,"Boloria dia (Linnaeus, 1767)",Hainveilchen-Perlmutterfalter,NT,,
Insecta,Lepidoptera,Nymphalidae,Boloria,euphrosyne,"Boloria euphrosyne (Linnaeus, 1758)",Veilchen-Perlmutterfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Boloria,napaea,"Boloria napaea (Hoffmannsegg, 1804)",Ähnlicher Perlmutterfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Boloria,pales,"Boloria pales (Denis & Schiffermüller, 1775)",Hochalpen-Perlmutterfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Boloria,selene,"Boloria selene (Denis & Schiffermüller, 1775)",Braunfleckiger Perlmutterfalter,NT,,
Insecta,Lepidoptera,Nymphalidae,Boloria,thore,"Boloria thore (Hübner, 1803)",Alpen-Perlmutterfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Boloria,titania,"Boloria titania (Esper, 1793)",Natterwurz-Perlmutterfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Brenthis,daphne,"Brenthis daphne (Denis & Schiffermüller, 1775)",Brombeer-Perlmutterfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Brenthis,ino,"Brenthis ino (Rottemburg, 1775)",Violetter Silberfalter,NT,,
Insecta,Lepidoptera,Nymphalidae,Brintesia,circe,"Brintesia circe (Fabricius, 1775)",Weisser Waldportier,NT,,
Insecta,Lepidoptera,Lycaenidae,Cacyreus,marshalli,"Cacyreus marshalli Butler, 1898",Pelargonien-Bläuling,NA,,"In Europa im 1989 eingeführte Art, vermutlich seit 1995 im Tessin etabliert"
Insecta,Lepidoptera,Lycaenidae,Callophrys,rubi,"Callophrys rubi (Linnaeus, 1758)",Brombeer-Zipfelfalter,LC,,
Insecta,Lepidoptera,Hesperiidae,Carcharodus,alceae,"Carcharodus alceae (Esper, 1780)",Malven-Dickkopffalter,NT,,In Ausbreitung
Insecta,Lepidoptera,Hesperiidae,Carcharodus,baeticus,"Carcharodus baeticus (Rambur, 1839)",Andorn-Dickkopffalter,RE,,Letzter Nachweis in der Schweiz 1954
Insecta,Lepidoptera,Hesperiidae,Carcharodus,floccifera,"Carcharodus floccifera (Zeller, 1847)",Betonien-Dickkopffalter,EN,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Hesperiidae,Carcharodus,lavatherae,"Carcharodus lavatherae (Esper, 1783)",Grünlicher Dickkopffalter,EN,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Hesperiidae,Carterocephalus,palaemon,"Carterocephalus palaemon (Pallas, 1771)",Gelbwürfliger Dickkopffalter,LC,,
Insecta,Lepidoptera,Lycaenidae,Celastrina,argiolus,"Celastrina argiolus (Linnaeus, 1758)",Faulbaum-Bläuling,LC,,
Insecta,Lepidoptera,Nymphalidae,Chazara,briseis,"Chazara briseis (Linnaeus, 1764)",Felsenfalter,CR,"B2ab (i,ii,iii,iv)",Zwei in der Schweiz bekannte Reliktpopulationen (Jura und Münstertal GR)
Insecta,Lepidoptera,Nymphalidae,Coenonympha,arcania,"Coenonympha arcania (Linnaeus, 1761)",Weissbindiges Wiesenvögelchen,NT,,
Insecta,Lepidoptera,Nymphalidae,Coenonympha,darwiniana,"Coenonympha darwiniana Staudinger, 1871",Darwins Wiesenvögelchen,LC,,
Insecta,Lepidoptera,Nymphalidae,Coenonympha,dorus,"Coenonympha dorus (Esper, 1782)",Dunkles Wiesenvögelchen,NA,,
Insecta,Lepidoptera,Nymphalidae,Coenonympha,gardetta,"Coenonympha gardetta (Prunner, 1798)",Alpen-Wiesenvögelchen,LC,,
Insecta,Lepidoptera,Nymphalidae,Coenonympha,glycerion,"Coenonympha glycerion (Borkhausen, 1788)",Rotbraunes Wiesenvögelchen,EN,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Coenonympha,hero,"Coenonympha hero (Linnaeus, 1761)",Wald-Wiesenvögelchen,CR,"B2ab (ii,iii,iv); C2a (i,ii); D","Im Mittelland verschwunden, Wiederbeobachtung eines Individuums im Jura 2012"
Insecta,Lepidoptera,Nymphalidae,Coenonympha,oedippus,"Coenonympha oedippus (Fabricius, 1787)",Moor-Wiesenvögelchen,CR,"B2ab (ii,iii,iv); C2a (i,ii); D",Letzter Nachweis in der Schweiz 2007
Insecta,Lepidoptera,Nymphalidae,Coenonympha,pamphilus,"Coenonympha pamphilus (Linnaeus, 1758)",Kleines Wiesenvögelchen,LC,,
Insecta,Lepidoptera,Nymphalidae,Coenonympha,tullia,"Coenonympha tullia (Müller, 1764)",Grosses Wiesenvögelchen,CR,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Pieridae,Colias,alfacariensis,"Colias alfacariensis Ribbe, 1905",Hufeisenklee-Heufalter,LC,,
Insecta,Lepidoptera,Pieridae,Colias,croceus,"Colias croceus (Fourcroy, 1785)",Wandergelbling,LC,,
Insecta,Lepidoptera,Pieridae,Colias,hyale,"Colias hyale (Linnaeus, 1758)",Gemeiner Heufalter,LC,,
Insecta,Lepidoptera,Pieridae,Colias,palaeno,"Colias palaeno (Linnaeus, 1761)",Hochmoorgelbling,NT,,
Insecta,Lepidoptera,Pieridae,Colias,phicomone,"Colias phicomone (Esper, 1780)",Alpengelbling,LC,,
Insecta,Lepidoptera,Lycaenidae,Cupido,alcetas,"Cupido alcetas (Hoffmannsegg, 1804)",Südlicher Kurzschwänziger Bläuling,NT,,In Ausbreitung
Insecta,Lepidoptera,Lycaenidae,Cupido,argiades,"Cupido argiades (Pallas, 1771)",Kurzschwänziger Bläuling,NT,,In Ausbreitung
Insecta,Lepidoptera,Lycaenidae,Cupido,minimus,"Cupido minimus (Fuessly, 1775)",Zwerg-Bläuling,LC,,
Insecta,Lepidoptera,Lycaenidae,Cupido,osiris,"Cupido osiris (Meigen, 1829)",Kleiner Alpen-Bläuling,EN,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Erebia,aethiops,"Erebia aethiops (Esper, 1777)",Waldteufel,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,alberganus,"Erebia alberganus (Prunner, 1798)",Mandeläugiger Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,bubastis,"Erebia bubastis (Meisner, 1818)",Weissgebänderter Mohrenfalter,EN,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Erebia,cassioides,"Erebia cassioides (Reiner & Hochenwarth, 1792)",Schillernder Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,christi,"Erebia christi Rätzer, 1890",Simplon-Mohrenfalter,VU,"B2ab(iii, iv); D2",Nur südlich des Simplons VS
Insecta,Lepidoptera,Nymphalidae,Erebia,epiphron,"Erebia epiphron (Knoch, 1783)",Knochs-Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,eriphyle,"Erebia eriphyle (Freyer, 1836)",Ähnlicher Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,euryale,"Erebia euryale (Esper, 1805)",Weissbindiger Bergwald-Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,flavofasciata,"Erebia flavofasciata Heyne, 1895",Gelbbinden-Mohrenfalter,NT,,Nur im Tessin und in Graubünden
Insecta,Lepidoptera,Nymphalidae,Erebia,gorge,"Erebia gorge (Hübner, 1804)",Felsen-Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,ligea,"Erebia ligea (Linnaeus, 1758)",Milchfleck,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,manto,"Erebia manto (Denis & Schiffermüller, 1775)",Gelbgefleckter Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,medusa,"Erebia medusa (Denis & Schiffermüller, 1775)",Rundaugen-Mohrenfalter,NT,,
Insecta,Lepidoptera,Nymphalidae,Erebia,melampus,"Erebia melampus (Fuessly, 1775)",Kleiner Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,meolans,"Erebia meolans (Prunner, 1798)",Randaugen-Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,mnestra,"Erebia mnestra (Hübner, 1804)",Blindpunkt-Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,montana,"Erebia montana (Prunner, 1798)",Marmorierter Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,nivalis,"Erebia nivalis Lorkovic & Lesse, 1954",Hochalpiner Schillernder Mohrenfalter,NT,,Nur in den Berner Alpen
Insecta,Lepidoptera,Nymphalidae,Erebia,oeme,"Erebia oeme (Hübner, 1804)",Doppelaugen-Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,pandrose,"Erebia pandrose (Borkhausen, 1788)",Graubrauner Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,pharte,"Erebia pharte (Hübner, 1804)",Unpunktierter Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,pluto,"Erebia pluto (Prunner, 1798)",Eis-Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,pronoe,"Erebia pronoe (Esper, 1780)",Quellen-Mohrenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Erebia,styx,"Erebia styx (Freyer, 1834)",Styx-Mohrenfalter,EN,"B2ab (i,ii,iii,iv)",Nur im Südtessin und in Ostgraubünden
Insecta,Lepidoptera,Nymphalidae,Erebia,sudetica,"Erebia sudetica Staudinger, 1861",Sudeten-Mohrenfalter,VU,"B2ab (i,ii,iii,iv); D2",Nur in der Region Grindelwald BE
Insecta,Lepidoptera,Nymphalidae,Erebia,triaria,"Erebia triaria (Prunner, 1798)",Alpen-Mohrenfalter,VU,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Erebia,tyndarus,"Erebia tyndarus (Esper, 1781)",Schweizer Schillernder Mohrenfalter,LC,,
Insecta,Lepidoptera,Hesperiidae,Erynnis,tages,"Erynnis tages (Linnaeus, 1758)",Dunkler Dickkopffalter,LC,,
Insecta,Lepidoptera,Pieridae,Euchloe,crameri,"Euchloe crameri Butler, 1869",Westlicher Gesprenkelter Weissling,NE,,
Insecta,Lepidoptera,Pieridae,Euchloe,simplonia,"Euchloe simplonia (Boisduval, 1828)",Mattfleckiger Weissling,VU,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Euphydryas,aurinia aurinia,"Euphydryas aurinia aurinia (Rottemburg, 1775)",Skabiosen-Scheckenfalter,EN,"B2ab (i,ii,iii,iv)c (iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Euphydryas,aurinia debilis,"Euphydryas aurinia debilis Oberthür, 1909",Alpiner Skabiosen-Scheckenfalter,LC,,
Insecta,Lepidoptera,Nymphalidae,Euphydryas,cynthia,"Euphydryas cynthia (Denis & Schiffermüller, 1775)",Veilchen-Scheckenfalter,NT,,
Insecta,Lepidoptera,Nymphalidae,Euphydryas,intermedia,"Euphydryas intermedia (Ménétriés, 1859)",Alpen-Maivogel,NT,,
Insecta,Lepidoptera,Lycaenidae,Glaucopsyche,alexis,"Glaucopsyche alexis (Poda, 1761)",Himmelblauer Steinklee-Bläuling,VU,"B2ab (i,ii,iii,iv)c (iii)",
Insecta,Lepidoptera,Pieridae,Gonepteryx,cleopatra,"Gonepteryx cleopatra (Linnaeus, 1767)",Kleopatrafalter,NA,,
Insecta,Lepidoptera,Pieridae,Gonepteryx,rhamni,"Gonepteryx rhamni (Linnaeus, 1758)",Zitronenfalter,LC,,
Insecta,Lepidoptera,Lycaenidae,Hamearis,lucina,"Hamearis lucina (Linnaeus, 1758)",Frühlingsscheckenfalter,NT,,
Insecta,Lepidoptera,Hesperiidae,Hesperia,comma,"Hesperia comma (Linnaeus, 1758)",Weissfleckiger Kommafalter,LC,,
Insecta,Lepidoptera,Hesperiidae,Heteropterus,morpheus,"Heteropterus morpheus (Pallas, 1771)",Spiegelfleck-Dickkopffalter,EN,"B2ab (i,ii,iii,iv)",Nur in den Südalpen
Insecta,Lepidoptera,Nymphalidae,Hipparchia,fagi,"Hipparchia fagi (Scopoli, 1763)",Grosser Waldportier,EN,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Hipparchia,genava,"Hipparchia genava (Fruhstorfer, 1908)",Walliser Waldportier,VU,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Hipparchia,semele,"Hipparchia semele (Linnaeus, 1758)",Ockerbindiger Samtfalter,VU,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Hipparchia,statilinus,"Hipparchia statilinus (Hufnagel, 1766)",Eisenfarbiger Samtfalter,VU,"B2ab (i,ii,iii,iv)",Zurzeit nur noch im Wallis
Insecta,Lepidoptera,Nymphalidae,Hyponephele,lycaon,"Hyponephele lycaon (Rottemburg, 1775)",Kleines Ochsenauge,VU,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Inachis,io,"Inachis io (Linnaeus, 1758)",Tagpfauenauge,LC,,
Insecta,Lepidoptera,Lycaenidae,Iolana,iolas,"Iolana iolas (Ochsenheimer, 1816)",Blasenstrauch-Bläuling,EN,"B2ab (i,ii,iii,iv)c (iii,iv)",Aktuell nur im Wallis und im Puschlav GR
Insecta,Lepidoptera,Papilionidae,Iphiclides,podalirius,"Iphiclides podalirius (Linnaeus, 1758)",Segelfalter,NT,,
Insecta,Lepidoptera,Nymphalidae,Issoria,lathonia,"Issoria lathonia (Linnaeus, 1758)",Kleiner Perlmutterfalter,LC,,
Insecta,Lepidoptera,Zygaenidae,Jordanita,chloros,"Jordanita chloros (Hübner, 1813)",Mehrfarbiges Grünwidderchen,CR,"B2ab (ii,iii,iv); C2a (i,ii); D","Nur im Puschlav GR und Münstertal GR, letzte Erwähnung 1946"
Insecta,Lepidoptera,Zygaenidae,Jordanita,globulariae,"Jordanita globulariae (Hübner, 1793)",Flockenblumen-Grünwidderchen,EN,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Zygaenidae,Jordanita,notata,"Jordanita notata (Zeller, 1847)",Seltenes Grünwidderchen,EN,"B2ab (i,ii,iii,iv)",
