,family,dt name,sc name,cat,bemerkungen,einteilung,untergruppe
138,Zweigsänger (Sylviidae),Orpheusgrasmücke*,Sylvia hortensis (Gmel.),RE,"letzter Brutnachweis: 1989, 1990 eine mögliche Brut",Vögel,Vögel2
139,Zweigsänger (Sylviidae),Dorngrasmücke,Sylvia communis Lath.,NT,,Vögel,Vögel2
140,Zweigsänger (Sylviidae),Berglaubsänger,Phylloscopus bonelli (Vieill.),LC,,Vögel,Vögel2
141,Zweigsänger (Sylviidae),Waldlaubsänger,Phylloscopus sibilatrix (Bechst.),VU,,Vögel,Vögel2
142,Zweigsänger (Sylviidae),Zilpzalp,Phylloscopus collybita (Vieill.),LC,,Vögel,Vögel2
143,Zweigsänger (Sylviidae),Fitis,Phylloscopus trochilus (L.),VU,,Vögel,Vögel2
144,Zweigsänger (Sylviidae),Wintergoldhähnchen,Regulus regulus (L.),LC,,Vögel,Vögel2
145,Zweigsänger (Sylviidae),Sommergoldhähnchen,Regulus ignicapilla (Temm.),LC,,Vögel,Vögel2
146,Fliegenschnäpper (Muscicapidae),Grauschnäpper,Muscicapa striata (Pall.),LC,,Vögel,Vögel2
147,Fliegenschnäpper (Muscicapidae),Halsbandschnäpper,Ficedula albicollis (Temm.),EN,,Vögel,Vögel2
148,Fliegenschnäpper (Muscicapidae),Trauerschnäpper,Ficedula hypoleuca (Pall.),LC,,Vögel,Vögel2
149,Timalien (Timaliidae),Bartmeise ,Panurus biarmicus (L.),VU,,Vögel,Vögel2
150,Schwanzmeisen (Aegithalidae),Schwanzmeise ,Aegithalos caudatus (L.),LC,,Vögel,Vögel2
151,Meisen (Paridae),Sumpfmeise  ,Parus palustris L.,LC,,Vögel,Vögel2
152,Meisen (Paridae),Mönchsmeise,Parus montanus Conrad,LC,Rückgang in den Tieflagen,Vögel,Vögel2
153,Meisen (Paridae),Haubenmeise,Parus cristatus L.,LC,,Vögel,Vögel2
154,Meisen (Paridae),Tannenmeise,Parus ater L.,LC,,Vögel,Vögel2
155,Meisen (Paridae),Blaumeise ,Parus caeruleus L.,LC,,Vögel,Vögel2
156,Meisen (Paridae),Kohlmeise,Parus major L.,LC,,Vögel,Vögel2
157,Kleiber (Sittidae),Kleiber,Sitta europaea L.,LC,,Vögel,Vögel2
158,Mauerläufer (Tichodromadidae),Mauerläufer  ,Tichodroma muraria (L.),LC,,Vögel,Vögel2
159,Baumläufer (Certhiidae),Waldbaumläufer  ,Certhia familiaris L.,LC,,Vögel,Vögel2
160,Baumläufer (Certhiidae),Gartenbaumläufer  ,Certhia brachydactyla Brehm,LC,,Vögel,Vögel2
161,Beutelmeisen (Remizidae),Beutelmeise,Remiz pendulinus (L.),VU,letzter Brutnachweis: 1999,Vögel,Vögel2
162,Pirole (Oriolidae),Pirol ,Oriolus oriolus (L.),LC,,Vögel,Vögel2
163,Würger (Laniidae),Neuntöter,Lanius collurio L.,LC,,Vögel,Vögel2
164,Würger (Laniidae),Schwarzstirnwürger,Lanius minor Gmel.,RE,Letzter Brutnachweis: 1972,Vögel,Vögel2
165,Würger (Laniidae),Raubwürger,Lanius excubitor L.,RE,Letzter Brutnachweis: 1986,Vögel,Vögel2
166,Würger (Laniidae),Rotkopfwürger,Lanius senator L.,CR,,Vögel,Vögel2
167,Krähenvögel (Corvidae),Eichelhäher,Garrulus glandarius (L.),LC,,Vögel,Vögel2
168,Krähenvögel (Corvidae),Elster,Pica pica (L.),LC,,Vögel,Vögel2
169,Krähenvögel (Corvidae),Tannenhäher,Nucifraga caryocatactes (L.),LC,,Vögel,Vögel2
170,Krähenvögel (Corvidae),Alpendohle,Pyrrhocorax graculus (L.),LC,,Vögel,Vögel2
171,Krähenvögel (Corvidae),Alpenkrähe,Pyrrhocorax pyrrhocorax (L.),EN,,Vögel,Vögel2
172,Krähenvögel (Corvidae),Dohle,Corvus monedula L.,VU,,Vögel,Vögel2
173,Krähenvögel (Corvidae),Saatkrähe,Corvus frugilegus L.,LC,,Vögel,Vögel2
174,Krähenvögel (Corvidae),Raben(Nebel-)krähe,Corvus corone L.,LC,,Vögel,Vögel2
175,Krähenvögel (Corvidae),Kolkrabe,Corvus corax L.,LC,,Vögel,Vögel2
176,Stare (Sturnidae),Star,Sturnus vulgaris L.,LC,,Vögel,Vögel2
177,Sperlinge (Passeridae),Haussperling,Passer domesticus (L.),LC,,Vögel,Vögel2
178,Sperlinge (Passeridae),Italiensperling,Passer hispaniolensis italiae (Vieill.),LC,,Vögel,Vögel2
179,Sperlinge (Passeridae),Feldsperling,Passer montanus (L.),LC,,Vögel,Vögel2
180,Sperlinge (Passeridae),Schneesperling,Montifringilla nivalis (L.),LC,,Vögel,Vögel2
181,Finkenvögel (Fringillidae),Buchfink,Fringilla coelebs L.,LC,,Vögel,Vögel2
182,Finkenvögel (Fringillidae),Girlitz,Serinus serinus (L.),LC,,Vögel,Vögel2
183,Finkenvögel (Fringillidae),Zitronengirlitz,Serinus citrinella (Pall.),LC,,Vögel,Vögel2
184,Finkenvögel (Fringillidae),Grünfink,Carduelis chloris (L.),LC,,Vögel,Vögel2
185,Finkenvögel (Fringillidae),Distelfink,Carduelis carduelis (L.),LC,,Vögel,Vögel2
186,Finkenvögel (Fringillidae),Erlenzeisig,Carduelis spinus (L.),LC,,Vögel,Vögel2
187,Finkenvögel (Fringillidae),Hänfling,Carduelis cannabina (L.),NT,,Vögel,Vögel2
188,Finkenvögel (Fringillidae),Alpenbirkenzeisig,Carduelis cabaret (L.),LC,,Vögel,Vögel2
189,Finkenvögel (Fringillidae),Fichtenkreuzschnabel,Loxia curvirostra L.,LC,,Vögel,Vögel2
190,Finkenvögel (Fringillidae),Karmingimpel*,Carpodacus erythrinus (Pall.),VU,,Vögel,Vögel2
191,Finkenvögel (Fringillidae),Gimpel,Pyrrhula pyrrhula (L.),LC,,Vögel,Vögel2
192,Finkenvögel (Fringillidae),Kernbeisser,Coccothraustes coccothraustes (L.),LC,,Vögel,Vögel2
193,Ammern (Emberizidae),Goldammer,Emberiza citrinella L.,LC,,Vögel,Vögel2
194,Ammern (Emberizidae),Zaunammer,Emberiza cirlus L.,NT,,Vögel,Vögel2
195,Ammern (Emberizidae),Zippammer,Emberiza cia L.,LC,,Vögel,Vögel2
196,Ammern (Emberizidae),Ortolan,Emberiza hortulana L.,CR,,Vögel,Vögel2
197,Ammern (Emberizidae),Rohrammer,Emberiza schoeniclus (L.),VU,,Vögel,Vögel2
198,Ammern (Emberizidae),Grauammer,Emberiza calandra L.,VU,,Vögel,Vögel2
